instId,tradeId,Date,Time,Millisec,side,px,sz,lDate,lTime,lMillisec
ETH-USDT,205613670,20220530,153815,449,buy,1904.95,0.03041,20220530,153815,454
ETH-USDT,205613671,20220530,153815,449,buy,1904.95,0.00205,20220530,153815,454
ETH-USDT,205613672,20220530,153818,150,buy,1904.95,3e-06,20220530,153818,156
ETH-USDT,205613673,20220530,153818,150,buy,1904.99,0.099997,20220530,153818,156
ETH-USDT,205613674,20220530,153821,4,buy,1904.97,0.04,20220530,153821,9
ETH-USDT,205613675,20220530,153821,270,buy,1904.99,3e-06,20220530,153821,276
ETH-USDT,205613676,20220530,153821,270,buy,1905,0.027,20220530,153821,276
ETH-USDT,205613677,20220530,153821,270,buy,1905,0.472997,20220530,153821,276
ETH-USDT,205613678,20220530,153821,270,buy,1905,1.5,20220530,153821,276
ETH-USDT,205613679,20220530,153821,270,buy,1905,0.5,20220530,153821,276
ETH-USDT,205613680,20220530,153821,279,buy,1905,0.5,20220530,153821,286
ETH-USDT,205613681,20220530,153821,281,buy,1905,0.5,20220530,153821,286
ETH-USDT,205613682,20220530,153821,283,buy,1905,0.5,20220530,153821,288
ETH-USDT,205613683,20220530,153821,314,buy,1905,0.027235,20220530,153821,320
ETH-USDT,205613684,20220530,153821,314,buy,1905,1.47277,20220530,153821,320
ETH-USDT,205613685,20220530,153821,318,buy,1905,0.5,20220530,153821,323
ETH-USDT,205613686,20220530,153821,361,buy,1905,2,20220530,153821,368
ETH-USDT,205613687,20220530,153821,549,sell,1904.99,0.04,20220530,153821,554
ETH-USDT,205613688,20220530,153821,549,sell,1904.99,0.084,20220530,153821,554
ETH-USDT,205613689,20220530,153822,656,buy,1905,2.02724,20220530,153822,661
ETH-USDT,205613690,20220530,153822,656,buy,1905,1.99999,20220530,153822,661
ETH-USDT,205613691,20220530,153824,112,buy,1905,5e-06,20220530,153824,117
ETH-USDT,205613692,20220530,153824,112,buy,1905,0.371172,20220530,153824,117
ETH-USDT,205613693,20220530,153824,112,buy,1905.03,0.001096,20220530,153824,118
